complex_name,protein_path,ligand_description,protein_sequence
COc1ccc(CN)cc1COC1CCOCC1,GLP1.pdb,COc1ccc(CN)cc1COC1CCOCC1,
CC(C)(C)c1cccc(CCN)c1,GLP1.pdb,CC(C)(C)c1cccc(CCN)c1,
CC(C)(C)OC(=O)N1CCN(C(=O)CN)CC1,GLP1.pdb,CC(C)(C)OC(=O)N1CCN(C(=O)CN)CC1,
CC(N)C(c1ccccc1)c1ccccc1,GLP1.pdb,CC(N)C(c1ccccc1)c1ccccc1,
CC(C)C(CN)C(=O)OC(C)(C)C,GLP1.pdb,CC(C)C(CN)C(=O)OC(C)(C)C,
NCc1ccc(-c2cccc(C(F)(F)F)c2)o1,GLP1.pdb,NCc1ccc(-c2cccc(C(F)(F)F)c2)o1,
NC1CCCc2cc(F)ccc21,GLP1.pdb,NC1CCCc2cc(F)ccc21,
CCOC(=O)c1csc(CCN)n1,GLP1.pdb,CCOC(=O)c1csc(CCN)n1,
CC1(CN)COCCN(C(=O)OC(C)(C)C)C1,GLP1.pdb,CC1(CN)COCCN(C(=O)OC(C)(C)C)C1,
CC12CCC(CN)(CC1)OC2,GLP1.pdb,CC12CCC(CN)(CC1)OC2,
NC(c1ccc(F)cc1F)C1CCCC1,GLP1.pdb,NC(c1ccc(F)cc1F)C1CCCC1,
NC1CCCC1c1ccccc1C(F)(F)F,GLP1.pdb,NC1CCCC1c1ccccc1C(F)(F)F,
CC(N)CCc1ccc2c(c1)OCO2,GLP1.pdb,CC(N)CCc1ccc2c(c1)OCO2,
Cc1ccc2c(c1)c(CCN)cn2CC(N)=O,GLP1.pdb,Cc1ccc2c(c1)c(CCN)cn2CC(N)=O,
NCC1(c2cccc(Cl)c2)CC1,GLP1.pdb,NCC1(c2cccc(Cl)c2)CC1,
CCC(N)c1ccc(OC(F)F)cc1,GLP1.pdb,CCC(N)c1ccc(OC(F)F)cc1,
CC(N)c1ccc2c(c1)CC(=O)N2C,GLP1.pdb,CC(N)c1ccc2c(c1)CC(=O)N2C,
NC1CC2(C1)CC2(F)F,GLP1.pdb,NC1CC2(C1)CC2(F)F,
COc1cc(F)ccc1CN,GLP1.pdb,COc1cc(F)ccc1CN,
NCc1cccc(OC(F)F)c1,GLP1.pdb,NCc1cccc(OC(F)F)c1,
NCc1cccc(C(F)F)n1,GLP1.pdb,NCc1cccc(C(F)F)n1,
Cc1ccc(CN)c(C2CC2)c1,GLP1.pdb,Cc1ccc(CN)c(C2CC2)c1,
CC(N)c1cnn(C(C)C)c1,GLP1.pdb,CC(N)c1cnn(C(C)C)c1,
NCc1nc(-c2ccccc2)n[nH]1,GLP1.pdb,NCc1nc(-c2ccccc2)n[nH]1,
CC(C)(C)OC(=O)N1[C@@H]2CC[C@@H](C2)[C@H]1CN,GLP1.pdb,CC(C)(C)OC(=O)N1[C@@H]2CC[C@@H](C2)[C@H]1CN,
C[C@@H]1C[C@H]1CCCN,GLP1.pdb,C[C@@H]1C[C@H]1CCCN,
NCCCc1cccc(Cl)c1,GLP1.pdb,NCCCc1cccc(Cl)c1,
CN(C(=O)OC(C)(C)C)c1ccc(CN)cc1,GLP1.pdb,CN(C(=O)OC(C)(C)C)c1ccc(CN)cc1,
COC(=O)CC[C@H](C)N,GLP1.pdb,COC(=O)CC[C@H](C)N,
CC1(C)CCC(N)C(c2ccccc2)C1,GLP1.pdb,CC1(C)CCC(N)C(c2ccccc2)C1,
CC(C)(C)OC(=O)N1CCC2(CC1)CNC(=O)C2N,GLP1.pdb,CC(C)(C)OC(=O)N1CCC2(CC1)CNC(=O)C2N,
COCc1nocc1CN,GLP1.pdb,COCc1nocc1CN,
NC1CCCN(Cc2c(F)cccc2F)C1,GLP1.pdb,NC1CCCN(Cc2c(F)cccc2F)C1,
Cc1cccc(C(C)CN)c1,GLP1.pdb,Cc1cccc(C(C)CN)c1,
C[C@H](N)c1c(F)cc(F)cc1F,GLP1.pdb,C[C@H](N)c1c(F)cc(F)cc1F,
NCC1CC2(CCCCC2)CO1,GLP1.pdb,NCC1CC2(CCCCC2)CO1,
NCCOC1CCCCCC1,GLP1.pdb,NCCOC1CCCCCC1,
CN1C[C@@H](N)CC1=O,GLP1.pdb,CN1C[C@@H](N)CC1=O,
NCc1cccc(OCc2ccccn2)c1,GLP1.pdb,NCc1cccc(OCc2ccccn2)c1,
NC1CCc2[nH]c3ccc(Cl)cc3c2C1,GLP1.pdb,NC1CCc2[nH]c3ccc(Cl)cc3c2C1,
COCc1csc(CN)c1,GLP1.pdb,COCc1csc(CN)c1,
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccc(Cl)c(F)c1,GLP1.pdb,CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccc(Cl)c(F)c1,
NC1COC(c2ccccc2)C1,GLP1.pdb,NC1COC(c2ccccc2)C1,
NCC1CCN1C1CCCCC1,GLP1.pdb,NCC1CCN1C1CCCCC1,
CSCC(N)C(C)(C)C,GLP1.pdb,CSCC(N)C(C)(C)C,
CC(C)N(C)Cc1ccccc1CN,GLP1.pdb,CC(C)N(C)Cc1ccccc1CN,
NCCNC(=O)c1ccccc1,GLP1.pdb,NCCNC(=O)c1ccccc1,
NCCCn1ccc(=O)[nH]c1=O,GLP1.pdb,NCCCn1ccc(=O)[nH]c1=O,
NCC1(c2ccccc2)CCCC1,GLP1.pdb,NCC1(c2ccccc2)CCCC1,
CCCC(N)c1ccc(Cl)c(Cl)c1,GLP1.pdb,CCCC(N)c1ccc(Cl)c(Cl)c1,
COC(=O)c1cc([C@H](C)N)ccc1OC,GLP1.pdb,COC(=O)c1cc([C@H](C)N)ccc1OC,
NCc1ccc(-n2ccnn2)cc1,GLP1.pdb,NCc1ccc(-n2ccnn2)cc1,
CC(N)c1ccc(OCC#N)cc1,GLP1.pdb,CC(N)c1ccc(OCC#N)cc1,
C=C(CN)C1CCOCC1,GLP1.pdb,C=C(CN)C1CCOCC1,
NCc1n[nH]c2ccc(Cl)cc12,GLP1.pdb,NCc1n[nH]c2ccc(Cl)cc12,
NCCCN(C1CC1)S(=O)(=O)c1cccc(F)c1,GLP1.pdb,NCCCN(C1CC1)S(=O)(=O)c1cccc(F)c1,
NCc1cccc(COC2CCCCC2)c1,GLP1.pdb,NCc1cccc(COC2CCCCC2)c1,
CC(N)CSCc1ccccc1,GLP1.pdb,CC(N)CSCc1ccccc1,
CC1(C)CC(F)(F)CCC1N,GLP1.pdb,CC1(C)CC(F)(F)CCC1N,
NCCc1ccc(OCC(=O)NC2CC2)cc1,GLP1.pdb,NCCc1ccc(OCC(=O)NC2CC2)cc1,
NCCC1=CCOCC1,GLP1.pdb,NCCC1=CCOCC1,
NCc1cc2cc(Cl)ccc2o1,GLP1.pdb,NCc1cc2cc(Cl)ccc2o1,
COc1cc(Br)c(CN)cc1OC,GLP1.pdb,COc1cc(Br)c(CN)cc1OC,
CC1(OCCN)CCOCC1,GLP1.pdb,CC1(OCCN)CCOCC1,
NCc1ccc([N+](=O)[O-])c(F)c1,GLP1.pdb,NCc1ccc([N+](=O)[O-])c(F)c1,
C=CCCCCCCCCCN,GLP1.pdb,C=CCCCCCCCCCN,
Cc1cc(C)cc(Oc2ccc(CN)cc2C)c1,GLP1.pdb,Cc1cc(C)cc(Oc2ccc(CN)cc2C)c1,
CC(C)(C)OC(=O)NCC12CCC(CN)(CC1)CO2,GLP1.pdb,CC(C)(C)OC(=O)NCC12CCC(CN)(CC1)CO2,
CC(C)(C)c1ccc(CN)cc1,GLP1.pdb,CC(C)(C)c1ccc(CN)cc1,
CCOC(=O)c1cccc(CCN)c1,GLP1.pdb,CCOC(=O)c1cccc(CCN)c1,
Cn1ccn2c(CN)nnc2c1=O,GLP1.pdb,Cn1ccn2c(CN)nnc2c1=O,
C[C@@H]1[C@H](N)CCS1(=O)=O,GLP1.pdb,C[C@@H]1[C@H](N)CCS1(=O)=O,
NCc1cccc([N+](=O)[O-])c1F,GLP1.pdb,NCc1cccc([N+](=O)[O-])c1F,
NCc1cc(Cl)cc(Br)c1,GLP1.pdb,NCc1cc(Cl)cc(Br)c1,
Cc1nc(CN)ccc1Br,GLP1.pdb,Cc1nc(CN)ccc1Br,
NCCc1ccccc1F,GLP1.pdb,NCCc1ccccc1F,
CCN(C)c1ccccc1CN,GLP1.pdb,CCN(C)c1ccccc1CN,
CC(N)c1cc(Cl)ccc1Cl,GLP1.pdb,CC(N)c1cc(Cl)ccc1Cl,
CC(C)(C)OC(=O)N1CCC(C2(CN)CCOCC2)CC1,GLP1.pdb,CC(C)(C)OC(=O)N1CCC(C2(CN)CCOCC2)CC1,
COC(=O)C1CC2(CCCC(CN)O2)C1,GLP1.pdb,COC(=O)C1CC2(CCCC(CN)O2)C1,
