ligand_description,complex_name,protein_path,protein_sequence
COC(=O)c1ccc2cc(OC)c(OC)cc2c1,CHEMBL2143032,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOCCCn1c(=N)c(S(=O)(=O)c2ccccc2)cc2c(=O)n3cc(C)ccc3nc21,CHEMBL1373837,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)c1ccc(NC(=O)c2ncn3c2C(=O)NC[C@@H]3C)cc1,CHEMBL1903276,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(C(=O)N/N=c2\oc3ccccc3cc2C(N)=O)cc1,CHEMBL3198988,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccccc1-c1c(C(F)(F)F)n[nH]c1-c1ccc(O)cc1O,CHEMBL1502434,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(C)cc1N(CC(=O)N1CCCC1)S(=O)(=O)c1ccccc1,CHEMBL1508964,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)N1CCN(C(=O)c2ccc(NC(C)=O)cc2)CC1,CHEMBL1741818,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCC(C)N(C(=O)COC(=O)c1[nH]c(C)c(C(C)=O)c1C)C1CCS(=O)(=O)C1,CHEMBL1326266,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(-c2cc3nc(C)cc(N)n3n2)cc1,CHEMBL1462373,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COCc1cc(C)nc(OCC(=O)N/N=C/c2ccc(OC)c(OC)c2)c1C#N,CHEMBL3199072,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1cccc(C(=O)N/N=C2\SCC(=O)N2Cc2ccc3c(c2)OCO3)c1,CHEMBL3213509,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOc1ccc(CCNC(=O)Nc2cccc(OC)c2)cc1OCC,CHEMBL1518593,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(Sc2cc(Cl)nc(N)n2)cc1,CHEMBL1404659,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cl.c1ccc(Nc2nc(N3CCOCC3)c3ccccc3n2)cc1,CHEMBL1527800,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOc1cc(/C=C2\SC(N3CCCCC3)=NC2=O)ccc1O,CHEMBL1435418,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COCCNc1nc(N)c([N+](=O)[O-])c(NCC2CCCO2)n1,CHEMBL1359970,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccccc1OCC(=O)Nc1ccc(N2CCN(C)CC2)c(Cl)c1,CHEMBL1423601,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(S(=O)(=O)c2nnn3c2nc(NC2CCCCCC2)c2sccc23)cc1C,CHEMBL1170087,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCN(CC)C(=O)C1=C(C)N(Cc2ccc(C(C)(C)C)cc2)C(=O)C(CC(=O)NCc2cccc3ccccc23)C1,CHEMBL1875801,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(-c2nc(-c3cccnc3)no2)cc1OC,CHEMBL1569588,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(CCNC(=O)c1ccc(Cl)cc1)Nc1cccc(S(=O)(=O)N2CCCCCC2)c1,CHEMBL1701919,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Cn1c(CO)nc2ccccc21)NCc1ccc2c(c1)OCO2,CHEMBL1540946,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1cc(O)nc(N/N=C/c2c(C)nn(-c3ccc(F)cc3)c2Cl)n1,CHEMBL3208156,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(-c2nnc(-c3ccc4c(c3)OCO4)o2)cc1,CHEMBL1572416,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)c1c(N)sc(C(C)=O)c1C,CHEMBL1321689,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(-c2csc(CCn3nc(C)cc3C)n2)cc1OC,CHEMBL1558747,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(-c2cc3cc(OC)c(OC)cc3c(C)n2)cc1,CHEMBL1458788,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1cccc(/C=C/C(=O)OCC(=O)NCC2CCCO2)c1OC,CHEMBL1522125,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1cc(-c2[nH]ncc2CN2CCSCC2)cc(OC)c1OC,CHEMBL1701349,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC(=O)NC(Cc1ccccc1)C(=O)NC1CCN(C(=O)c2cnccn2)CC1,CHEMBL1367403,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC(O)C(NS(=O)(=O)c1ccc(Cl)cc1)C(=O)OCC(=O)c1c[nH]c2ccccc12,CHEMBL1430769,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1nn(CC(C)C)c(Cl)c1C(=O)N(c1ccc(Cl)cc1F)S(C)(=O)=O,CHEMBL1441398,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc([N+](=O)[O-])cc1N/C=C1\CCCCC1=O,CHEMBL1985338,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(C2C3=C(O)CCCC3=Nc3nc(-c4cc(OC)c(OC)c(OC)c4)nn32)cc1OC,CHEMBL1573807,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccccc1N=C1C(=O)Nc2ccccc21,CHEMBL1882457,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Oc1ccnc(S/C=C/c2ccccc2)n1,CHEMBL1495242,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(C(=O)Nc2ccccn2)cc1,CHEMBL1571193,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(/C=N/n2nnnc2N)cc1OC,CHEMBL3189609,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(NCc1ccccc1Cl)c1ccc2[nH]c([C@H]3C[C@H](O)[C@@H](CO)O3)nc2c1,CHEMBL2139828,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(S(=O)(=O)Nc2cc3c(cc2N2CCOCC2)n(C)c(=O)n3C)cc1,CHEMBL1435473,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCOC(=O)c1ccc2nc(C)c(CCC(C)=O)c(Cl)c2c1,CHEMBL1497410,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Nc1nc(COC(=O)c2ccc3c(c2)OCCO3)nc(Nc2ccccc2)n1,CHEMBL1698935,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1cc(C)c(-n2nnnc2SCC(=O)c2cccs2)c(C)c1,CHEMBL1482358,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCN1C(=O)/C(=C2/C=CC=CN2C)SC1=S,CHEMBL473313,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1ccc(C(=O)NC(=S)Nc2ccc(CN3CCCCC3)cc2)cc1Cl,CHEMBL1373809,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
O=C(Nc1ccccc1C(=O)NC1CC1)c1ccc([N+](=O)[O-])o1,CHEMBL1455019,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Cc1ccc(C2CC(=O)c3cnn(-c4nc(C)cc(C)n4)c3C2)cc1,CHEMBL1339713,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1cccc(NC(=O)C(=O)N2CCOCC2)c1,CHEMBL1564952,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
COc1cc(C2C3=C(CC(C)(C)CC3=O)N(C)C3=C2C(=O)CC(C)(C)C3)cc(Br)c1O,CHEMBL1563313,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)CC#N,CHEMBL1867393,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
Nc1cc(-c2ccccc2)n2c(n1)nc1ccccc12,CHEMBL1711370,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
CCCCCNC(=O)c1cc2c(=O)n3ccccc3nc2n1C,CHEMBL1570579,C:/Users/ashis/Documents/DiffDock/modified_GLP1.pdb,
