complex_name,protein_path,ligand_description,protein_sequence
ClCCN1CCCC1,GLP1.pdb,ClCCN1CCCC1,
CCCCCc1ccc(O)cc1,GLP1.pdb,CCCCCc1ccc(O)cc1,
CCOC(=O)C1CCCCN1,GLP1.pdb,CCOC(=O)C1CCCCN1,
COc1ccc(-n2c(S)nc3ccccc3c2=O)cc1,GLP1.pdb,COc1ccc(-n2c(S)nc3ccccc3c2=O)cc1,
COc1ccc(CCNC(=S)NN)cc1OC,GLP1.pdb,COc1ccc(CCNC(=S)NN)cc1OC,
C=CCn1c(=O)c2ccccc2n2c(SCC(=O)O)nnc12,GLP1.pdb,C=CCn1c(=O)c2ccccc2n2c(SCC(=O)O)nnc12,
CCC1CO1,GLP1.pdb,CCC1CO1,
[O-][n+]1ccccc1O,GLP1.pdb,[O-][n+]1ccccc1O,
Fc1ccccc1OCC1CO1,GLP1.pdb,Fc1ccccc1OCC1CO1,
CC(C)NCC(=O)Nc1ccc(Cl)cc1C(F)(F)F,GLP1.pdb,CC(C)NCC(=O)Nc1ccc(Cl)cc1C(F)(F)F,
O=C(CNCc1ccco1)Nc1ccc(Cl)c(C(F)(F)F)c1,GLP1.pdb,O=C(CNCc1ccco1)Nc1ccc(Cl)c(C(F)(F)F)c1,
O=S(=O)(Nc1cccc(S(=O)(=O)N2CCCC2)c1)c1cccs1,GLP1.pdb,O=S(=O)(Nc1cccc(S(=O)(=O)N2CCCC2)c1)c1cccs1,
CCOc1cc(C=O)cc(Cl)c1OC,GLP1.pdb,CCOc1cc(C=O)cc(Cl)c1OC,
CC(C)(C)c1ccc(S(=O)(=O)N2CCCCC2C(=O)O)cc1,GLP1.pdb,CC(C)(C)c1ccc(S(=O)(=O)N2CCCCC2C(=O)O)cc1,
COc1ccc(NS(=O)(=O)c2ccc(F)cc2F)cc1,GLP1.pdb,COc1ccc(NS(=O)(=O)c2ccc(F)cc2F)cc1,
OCCc1ccc(O)c(-n2nc3ccccc3n2)c1,GLP1.pdb,OCCc1ccc(O)c(-n2nc3ccccc3n2)c1,
Cc1ccc(-c2c(C)sc3[nH]c(CCl)nc(=O)c23)cc1,GLP1.pdb,Cc1ccc(-c2c(C)sc3[nH]c(CCl)nc(=O)c23)cc1,
N#Cc1ccccc1S(=O)(=O)NCC(=O)O,GLP1.pdb,N#Cc1ccccc1S(=O)(=O)NCC(=O)O,
Nc1cc(-c2cccc([N+](=O)[O-])c2)n[nH]1,GLP1.pdb,Nc1cc(-c2cccc([N+](=O)[O-])c2)n[nH]1,
Cc1sc2nc(C(C)Cl)[nH]c(=O)c2c1C,GLP1.pdb,Cc1sc2nc(C(C)Cl)[nH]c(=O)c2c1C,
Cc1cc(Cl)nc2c(C(C)C)cccc12,GLP1.pdb,Cc1cc(Cl)nc2c(C(C)C)cccc12,
CC(=O)CC(=O)Nc1ccccc1C(C)C,GLP1.pdb,CC(=O)CC(=O)Nc1ccccc1C(C)C,
CSc1ccc(S(=O)(=O)NCC(=O)O)cc1[N+](=O)[O-],GLP1.pdb,CSc1ccc(S(=O)(=O)NCC(=O)O)cc1[N+](=O)[O-],
O=C(O)CCNC1=NS(=O)(=O)c2ccccc21,GLP1.pdb,O=C(O)CCNC1=NS(=O)(=O)c2ccccc21,
O=C(O)CSC(c1ccccc1)c1ccccc1,GLP1.pdb,O=C(O)CSC(c1ccccc1)c1ccccc1,
CC1=NN(c2ccc(C)cc2C)C(=O)C1,GLP1.pdb,CC1=NN(c2ccc(C)cc2C)C(=O)C1,
C#CCOc1ccc(C=O)cc1OCC,GLP1.pdb,C#CCOc1ccc(C=O)cc1OCC,
CCCOc1ccccc1N,GLP1.pdb,CCCOc1ccccc1N,
