Molecule ChEMBL ID,Smiles,Comment,Filepath
CHEMBL2143032,COC(=O)c1ccc2cc(OC)c(OC)cc2c1,inactive,rank1_confidence-0.44.sdf
CHEMBL1373837,CCOCCCn1c(=N)c(S(=O)(=O)c2ccccc2)cc2c(=O)n3cc(C)ccc3nc21,inactive,rank1_confidence-1.13.sdf
CHEMBL1903276,CCOC(=O)c1ccc(NC(=O)c2ncn3c2C(=O)NC[C@@H]3C)cc1,inactive,rank1_confidence-0.48.sdf
CHEMBL3198988,Cc1ccc(C(=O)N/N=c2\oc3ccccc3cc2C(N)=O)cc1,inactive,rank1_confidence-0.60.sdf
CHEMBL1502434,COc1ccccc1-c1c(C(F)(F)F)n[nH]c1-c1ccc(O)cc1O,active,rank1_confidence-1.24.sdf
CHEMBL1508964,COc1ccc(C)cc1N(CC(=O)N1CCCC1)S(=O)(=O)c1ccccc1,inactive,rank1_confidence-2.03.sdf
CHEMBL1741818,CCOC(=O)N1CCN(C(=O)c2ccc(NC(C)=O)cc2)CC1,inactive,rank1_confidence-0.67.sdf
CHEMBL1326266,CCC(C)N(C(=O)COC(=O)c1[nH]c(C)c(C(C)=O)c1C)C1CCS(=O)(=O)C1,inactive,rank1_confidence-0.96.sdf
CHEMBL1462373,COc1ccc(-c2cc3nc(C)cc(N)n3n2)cc1,active,rank1_confidence-0.49.sdf
CHEMBL3199072,COCc1cc(C)nc(OCC(=O)N/N=C/c2ccc(OC)c(OC)c2)c1C#N,inactive,rank1_confidence-0.60.sdf
CHEMBL3213509,COc1cccc(C(=O)N/N=C2\SCC(=O)N2Cc2ccc3c(c2)OCO3)c1,inactive,rank1_confidence-0.78.sdf
CHEMBL1518593,CCOc1ccc(CCNC(=O)Nc2cccc(OC)c2)cc1OCC,active,rank1_confidence-1.29.sdf
CHEMBL1404659,Cc1ccc(Sc2cc(Cl)nc(N)n2)cc1,inactive,rank1_confidence-0.65.sdf
CHEMBL1527800,Cl.c1ccc(Nc2nc(N3CCOCC3)c3ccccc3n2)cc1,active,rank1_confidence-1.07.sdf
CHEMBL1435418,CCOc1cc(/C=C2\SC(N3CCCCC3)=NC2=O)ccc1O,inactive,rank1_confidence-0.48.sdf
CHEMBL1359970,COCCNc1nc(N)c([N+](=O)[O-])c(NCC2CCCO2)n1,inactive,rank1_confidence-0.90.sdf
CHEMBL1423601,Cc1ccccc1OCC(=O)Nc1ccc(N2CCN(C)CC2)c(Cl)c1,active,rank1_confidence-0.69.sdf
CHEMBL1170087,Cc1ccc(S(=O)(=O)c2nnn3c2nc(NC2CCCCCC2)c2sccc23)cc1C,inactive,rank1_confidence-0.92.sdf
CHEMBL1875801,CCN(CC)C(=O)C1=C(C)N(Cc2ccc(C(C)(C)C)cc2)C(=O)C(CC(=O)NCc2cccc3ccccc23)C1,active,rank1_confidence-1.25.sdf
CHEMBL1569588,COc1ccc(-c2nc(-c3cccnc3)no2)cc1OC,inactive,rank1_confidence-0.58.sdf
CHEMBL1701919,O=C(CCNC(=O)c1ccc(Cl)cc1)Nc1cccc(S(=O)(=O)N2CCCCCC2)c1,active,rank1_confidence-1.27.sdf
CHEMBL1540946,O=C(Cn1c(CO)nc2ccccc21)NCc1ccc2c(c1)OCO2,inactive,rank1_confidence-1.75.sdf
CHEMBL3208156,Cc1cc(O)nc(N/N=C/c2c(C)nn(-c3ccc(F)cc3)c2Cl)n1,inactive,rank1_confidence-0.69.sdf
CHEMBL1572416,Cc1ccc(-c2nnc(-c3ccc4c(c3)OCO4)o2)cc1,inactive,rank1_confidence-0.74.sdf
CHEMBL1321689,CCOC(=O)c1c(N)sc(C(C)=O)c1C,inactive,rank1_confidence-0.34.sdf
CHEMBL1558747,COc1ccc(-c2csc(CCn3nc(C)cc3C)n2)cc1OC,inactive,rank1_confidence-1.02.sdf
CHEMBL1458788,COc1ccc(-c2cc3cc(OC)c(OC)cc3c(C)n2)cc1,inactive,rank1_confidence-0.72.sdf
CHEMBL1522125,COc1cccc(/C=C/C(=O)OCC(=O)NCC2CCCO2)c1OC,inactive,rank1_confidence-0.48.sdf
CHEMBL1701349,COc1cc(-c2[nH]ncc2CN2CCSCC2)cc(OC)c1OC,inactive,rank1_confidence-0.96.sdf
CHEMBL1367403,CC(=O)NC(Cc1ccccc1)C(=O)NC1CCN(C(=O)c2cnccn2)CC1,inactive,rank1_confidence-0.83.sdf
CHEMBL1430769,CC(O)C(NS(=O)(=O)c1ccc(Cl)cc1)C(=O)OCC(=O)c1c[nH]c2ccccc12,active,rank1_confidence-1.75.sdf
CHEMBL1441398,Cc1nn(CC(C)C)c(Cl)c1C(=O)N(c1ccc(Cl)cc1F)S(C)(=O)=O,active,rank1_confidence-1.20.sdf
CHEMBL1985338,Cc1ccc([N+](=O)[O-])cc1N/C=C1\CCCCC1=O,inactive,rank1_confidence-1.04.sdf
CHEMBL1573807,COc1ccc(C2C3=C(O)CCCC3=Nc3nc(-c4cc(OC)c(OC)c(OC)c4)nn32)cc1OC,inactive,rank1_confidence-1.42.sdf
CHEMBL1882457,Cc1ccccc1N=C1C(=O)Nc2ccccc21,inactive,rank1_confidence-0.74.sdf
CHEMBL1495242,Oc1ccnc(S/C=C/c2ccccc2)n1,inactive,rank1_confidence-0.30.sdf
CHEMBL1571193,COc1ccc(C(=O)Nc2ccccn2)cc1,inactive,rank1_confidence0.05.sdf
CHEMBL3189609,COc1ccc(/C=N/n2nnnc2N)cc1OC,inactive,rank1_confidence-0.71.sdf
CHEMBL2139828,O=C(NCc1ccccc1Cl)c1ccc2[nH]c([C@H]3C[C@H](O)[C@@H](CO)O3)nc2c1,inactive,rank1_confidence-0.60.sdf
CHEMBL1435473,Cc1ccc(S(=O)(=O)Nc2cc3c(cc2N2CCOCC2)n(C)c(=O)n3C)cc1,inactive,rank1_confidence-1.19.sdf
CHEMBL1497410,CCOC(=O)c1ccc2nc(C)c(CCC(C)=O)c(Cl)c2c1,inactive,rank1_confidence-0.60.sdf
CHEMBL1698935,Nc1nc(COC(=O)c2ccc3c(c2)OCCO3)nc(Nc2ccccc2)n1,inactive,rank1_confidence-0.66.sdf
CHEMBL1482358,Cc1cc(C)c(-n2nnnc2SCC(=O)c2cccs2)c(C)c1,active,rank1_confidence-0.99.sdf
CHEMBL473313,CCN1C(=O)/C(=C2/C=CC=CN2C)SC1=S,inactive,rank1_confidence-1.16.sdf
CHEMBL1373809,COc1ccc(C(=O)NC(=S)Nc2ccc(CN3CCCCC3)cc2)cc1Cl,active,rank1_confidence-0.61.sdf
CHEMBL1455019,O=C(Nc1ccccc1C(=O)NC1CC1)c1ccc([N+](=O)[O-])o1,inactive,rank1_confidence-0.81.sdf
CHEMBL1339713,Cc1ccc(C2CC(=O)c3cnn(-c4nc(C)cc(C)n4)c3C2)cc1,inactive,rank1_confidence-0.69.sdf
CHEMBL1564952,COc1cccc(NC(=O)C(=O)N2CCOCC2)c1,inactive,rank1_confidence-0.65.sdf
CHEMBL1563313,COc1cc(C2C3=C(CC(C)(C)CC3=O)N(C)C3=C2C(=O)CC(C)(C)C3)cc(Br)c1O,inactive,rank1_confidence-1.45.sdf
CHEMBL1867393,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1CCC2(O)CC#N,inactive,rank1_confidence-0.78.sdf
CHEMBL1711370,Nc1cc(-c2ccccc2)n2c(n1)nc1ccccc12,inactive,rank1_confidence-0.32.sdf
CHEMBL1570579,CCCCCNC(=O)c1cc2c(=O)n3ccccc3nc2n1C,inactive,rank1_confidence-0.61.sdf
CHEMBL3198192,CCOC(=O)/C=c1\s/c(=C\c2ccccc2OC)c(=O)n1CC(=O)N1CCOCC1,inactive,rank1_confidence-0.55.sdf
CHEMBL1878371,COC(=O)c1c(NC(=O)c2ccccc2F)sc(C(=O)N2CCOCC2)c1C,inactive,rank1_confidence-0.55.sdf
CHEMBL1462237,CC(=O)c1ccc(NC(=S)NC(=O)c2c(Cl)c(C)nn2C)cc1,inactive,rank1_confidence-0.19.sdf
CHEMBL1597028,Cc1ccccc1NC(=O)NCC1CCN(c2ccc(S(=O)(=O)N3CCOCC3)cc2)CC1,inactive,rank1_confidence-1.25.sdf
